"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima riconferma","Ritorno a mangiare per pranzo in questo ristorantino dopo alcuni mesi e rimango ancora soddisfatto della qualità del cibo e della cortesia/efficienza del personale. Passatelli in brodo che mi hanno ricordato quelli di mia nonna e spezzatino di vitello da leccarsi i baffi... molta resa e pochissima spesa "
"ui_bubble_rating bubble_40","Pranzo veloce e di qualità","Ho fatto una sosta per un pranzo veloce e sono rimasto ben impressionato. Menù del giorno interessante, servito velocemente e con garbo. Tutto buono e prezzi corretti "
"ui_bubble_rating bubble_50","pranzo ristorante","bar con ristorazione abbiamo pranzato con dei amici direi ottimo cibo con un ampio menu ,anche con delle richieste diversi .direi non aver trovato nessuna differenza di un vero ristorante complimenti a tutti grazie "
"ui_bubble_rating bubble_30","Ciò che serve","Posto molto semplice, si tratta in fondo di un bar che fa anche servizio ristorazione, molto utile per le persone che lavorano lì intorno. La qualità è nella media, si mangia ciò che serve per un pranzetto veloce."
"ui_bubble_rating bubble_50","Un ottimo pranzo di lavoro","Facendo il rappresentante mi sono fermato per pranzo in questo spazioso locale... per quanto il menù possa sembrare limitato (uba scelta tra 3 primi e 3 secondi) la qualità dei prodotti ed il tipo di cucina sono stati di ottima qualità!!Essendo intollerante ad alcuni alimenti ho riscontrato la gentilezza di rapporto del personale e la loro disponibilità a variare alcuni ingrendienti per accontentarmi al meglio.A loro il mio più sincero plauso.Ritornerò sicuramente quando sarò di nuovo in zona."
"ui_bubble_rating bubble_40","MOLTO BUONO!","Prenotato per un buffet di festa privata, la cinquantina di presenti hanno trovato buon cibo, professionalità, competenza ed un locale spazioso. Festa riuscita, tanti complimenti e noi soddisfatti. Locale da tenere in considerazione!"
"ui_bubble_rating bubble_40","Un bel bar..","Bar in centro a Cesena facilmente raggiungibile. Ampi spazi con diversi tavoli. Bancone bar spazioso, angolo lettura quotidiani. Caffè discreto ad 1.1€."
"ui_bubble_rating bubble_50","una bella sorpresa .","siamo capitati a caso , per pranzo , in questo ristorante e siamo rimasti piacevolmente sorpresi del rapporto qualità prezzo del menu del giorno offerto a 13 euro . Buonissime le tagliatelle al sugo di stridoli e guanciale che abbiamo scelto su 3 proposte tutte invitanti cosi come il secondo su 4 opzioni . Molto gradevole l'atmosfera tra il personale e gli habitués, tutti con il sorriso , tutti felici in quel momento , veloce il servizio visto le esigenze della clientela e perfetto anche il locale , molto luminoso e spazioso .Complimenti al gestore ed allo staff . Lo consiglio vivamente e mi sembra , avendo notato il banco delle paste che anche la colazione dovrebbe essere piacevole ."
"ui_bubble_rating bubble_40","lunch breack","un locale giovane ed accogliente , dove vengono proposti diversi menù ad un prezzo fisso estremamente competitivo ( 12,50 euro ) vino a parte , considerata la qualità ."
"ui_bubble_rating bubble_40","Semplice, genuino e familiare.","Il cibo è semplice e genuino. Assolutamente fatto in casa e buono. Che dire? Si sta bene, l'ambiente è semplice e pulito e il prezzo è giustissimo!"
"ui_bubble_rating bubble_30","Buon ristorante per pausa pranzo","Sono stato in questo locale con una collega. Locale ampio, anche se non ampissimo, e un po' rumoroso. Servizio veloce, cibo nella media della zona (comunque buono). Abbiamo preso una amatriciana è un orecchiette spinaci e salsiccia, una bottiglia d'acqua, un calice di rosso e i caffè: 21€ in tutto, onesto."
"ui_bubble_rating bubble_40","rinfresco di laurea","Sono stato in questo locale per festeggiare la laurea appena conquistata. Le portate erano buone anche se non molto diversificate, porzioni molo abbondanti accompagnate con bibite varie e prosecco. Discreto anche il dolce ."
