"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Si conferma l'eccellenza","Già visitato poco più di un mese fa, ritorniamo provando piatti diversi che non fanno che confermare la prima impressione: servizio e cucina di alto livello"
"ui_bubble_rating bubble_50","Tutti devono provare Sabatini!!!!","Avevo sempre sentito parlare di Sabatini come ristorante storico di Firenze, cosi con il mio ragazzo abbiamo deciso di provarlo. Appena entrati siamo stati accolti da una ragazza molto gentile che ci ha accompagnato al tavolo. L'ingresso era molto bello ma mai come la sala principale! Tutto in questo ristorante è curato nel minimo dettaglio. Dopo aver visto il menù abbiamo deciso di provare il percorso Gourmet scelto dallo chef, con abbinamento vini. Tutto è stato un susseguirsi di piatti e sapori incredibili. Appena ordinato ci hanno portato anche un omaggio della cucina, polpo alla griglia con salsa di peperone, ottimo!!! Dopo di che sono arrivati uno ad uno i nostri piatti. Scampi semicrudi con macadamia, terrina di fegatini con arachidi, cappelletti fatti a mano con farina di castagne e questi sono solo alcuni dei piatti che abbiamo assaggiato. Anche il servizio molto attento, un team molto giovane che rendeva l'atmosfera e la serata ancora più piacevole. Il tocco finale però lo ha dato il dolce, un'esplosione di sapori che difficilmente dimentichi. Nel menù gourmet c era un dolce con cioccolato bianco finocchio e mandorle, il finocchio era condito con sale e olio che insieme al cioccolato e le mandorle è stato davvero incredibile proprio non me lo aspettavo!! Devo dire che siamo rimasti davvero colpiti da questo ristorante e non vedo l'ora di tornarci. È stata una vera e propria esperienza gastronomica e ci siamo proprio sentiti coccolati tutta la sera. Consiglio davvero a chiunque di provare questo ristorante!!!! "
"ui_bubble_rating bubble_50","Relax","Il locale ti lascia a bocca aperta da quanto è bello. Il servizio è di qualità e non invadente, ho trovato il personale molto disponibilità alle nostre esigenze. La qualità dei piatti è ottima,gustosi ma senza eccedere."
"ui_bubble_rating bubble_50","Magistrale","Ristorante arredato con gusto ed eleganza. Il locale è spazioso e i tavoli sono ben distanziati. Il cibo è preparato magistralmente. Io ho gradito molto gli gnocchi con la spuma di cardi ed anche la bavarese di broccoli."
"ui_bubble_rating bubble_40","La storia","Quando siamo entrati io e mia moglie in questo ristorante siamo stati pervasi da una grande emozione. Non eravamo mai venuti anche se siamo di Firenze. A volte i pregiudizi sono veramente sbagliati e temevo fosse rimasto oramai solo un ristorante per turisti. Niente di più sbagliato. Servizio gentilissimo. Ambiente fantastico noi abbiamo pranzato sul soppalco. Cucina di classe in alcuni piatti soprattutto quelli alla fiamma, preparati al tavolo come spaghetti e crepe souzette. Carta dei vini contenente tutti i più grandi vini. Conto adeguato ad un ristorante che ha fatto la storia."
"ui_bubble_rating bubble_50","Che bellezza!!!","Fantastico ristorante, personale molto cortese e professionale. Ottimi vini accompagnano l'eccellente cucina. Consigliatissimo!!!"
"ui_bubble_rating bubble_50","Alti livelli","L'ospitalità è impareggiabile, il locale è di un fascino spettacolare. Il cibo era magnifico, creativo e gustoso."
"ui_bubble_rating bubble_50","Succulente tentazioni","Gentilezza, professionalità e tanto buon gusto. Ottimi i primi, veramente gustosi.E cosa dire dei dolci..... buonissime tentazioni.Ottimo il servizio."
"ui_bubble_rating bubble_50","Ottimo consiglio","Su consiglio di alcuni amici abbiamo deciso di pranzare in questo splendido ristorante. Pietanze di alta cucina, si sente la bontà e la freschezza delle materie utilizzate. Il servizio è ottimo per nulla invasivo. Siamo stati molto bene."
