"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Buono","Ordinato per cinque Pizze alla salsiccia e capricciosa tirolese e pollo alla piastra sottile saporita molto buona la crema caffè Consigliatissima "
"ui_bubble_rating bubble_50","Ottimo ","Ottimo ,piadina buonissima,pizza buona è leggerissima (con lievito madre) pizza fritta,calzoni fritti,pranzo a buffet,che dire un locale perfetto per tutti "
"ui_bubble_rating bubble_10","Mai più!","Una mia amica necessitava di una toilette e non avendo molti soldi abbiamo deciso di comprare delle caramelle al posto suo così che potesse andare in bagno. Le è stato negato dal proprietario Poiché non era stata lei stessa ad acquistare le caramelle mentre lui e gli altri ragazzi che lavoravano li la deridevano prendendola in giro. Comportamento ridicolo e scortese da parte del gestore e di tutti i baristi."
"ui_bubble_rating bubble_40","in pieno centro","Pizza molto buona, praticamente in centro di fronte all 'Arco Clementino, prima di fare una passeggiata per il corso o ritornando mi fermo spesso Aprendere la pizza"
"ui_bubble_rating bubble_40","Pranzo veloce","Conoscevo già il locale con la gestione precedente; ad oggi, col nuovo titolare, mi pare migliorato.Propongono vari piatti e pizza anche a pranzo, di qualità. Servizio gentile e attento, prezzo onesto."
"ui_bubble_rating bubble_30","Colazione","Bar carino vicino all'arco Clementino, brioches e cappuccini ottimi e con prezzi nella media, molto professionale e disponibile la ragazza di servizio."
"ui_bubble_rating bubble_30","Giusto per un pranzo...quasi veloce","Ristorantino all'arco Clementino nella media, adatto per le pause pranzo, anche se talvolta l'attesa è troppo lunga, soprattutto se la pausa è breve... pizza, primi, secondi e piadine molto nella media, fatti con ingredienti relativamente di qualità. Personale abbastanza gentile e locale curato. Lo consiglio soprattutto ai giovani..."
"ui_bubble_rating bubble_30","pausa pranzo","buon riferimento per la pausa pranzo, buffet vario es. verdure grigliate parmigiana e carne con patate ecc. compreso di caffè 10 euro. Locale piccolo ma accogliente e pulito. "
"ui_bubble_rating bubble_50","Serata tra amici","Ambiente piccolino ma confortevole,di nuova costruzione. Pulitissimo con personale alla mano e simpatico. Tagliere salumi e fornarina veramente ottimi. Consigliato!"
"ui_bubble_rating bubble_40","Pizza e piadina last second!!","Ora tarda, e molta fame; appena varcata la porta antica di Jesi è il primo ristopizza dove pizza e piadina di ottima qualità sono farcite di simpatia e risate. Se siete a Jesi, fermatevi!"
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_10","",""
"ui_bubble_rating bubble_10","Non ve lo consiglio.","Pizza non mangiabile.Servizio sufficiente. Locale apparentemente pulito.Personale collaborativo.Non lo consiglio."
"ui_bubble_rating bubble_30","Fornarina buonissima,il resto nella media","Locale piccolo e molto semplice piu' vicino ad una pizzeria al taglio con possibilità di consumazione in loco che ad un ristorante, però con personale molto gentile (a mio parere,aspetto decisamente importante) che aumenta il punteggio della valutazione. Antipasto discreto a base di formaggi ed affettati misti mentre veramente OTTIMA era la fornarina che lo accompagnava. La pizza buona e ben digeribile ed il prezzo decisamente interessante (offerta groupon)."
"ui_bubble_rating bubble_30","Buona volontà....","Una breve sosta a pranzo,la posizione è buona,appena si entra nel centro storico,possibilità di parcheggio,nella media, per un brunch credo che sia ottimale,anche in pausa di lavoro...non male."
"ui_bubble_rating bubble_10","Approssimativo e di scarsa qualità","Sono andato a cena con la mia compagna utilizzando un pacchetto Groupon. Il menù comprendeva antipasto, pizza e bibita. Antipasto abbondante ma di bassissima qualità con mortadella banco frigo del supermercato e qualche pezzettino di mozzarella, da salvare solo la semplice foccaccina che accompagnava il tutto. Pizza al piatto davvero inferiore alla media delle molte pizzerie della zona. Locale e servizio approssimativo. Avendo pagato il pacchetto Groupon non mi sono posto il problema del costo ma, buttando l'occhio sul listino, ho notato che i prezzi sono allineati con quelli di altri locali ben più rinomati e di qualità.. sicuramente molto meglio prenotare in altri posti per passare una soddisfacente serata a cena fuori! "
"ui_bubble_rating bubble_30","pizzabar piuttosto che ristopizza...","Pizza discreta, locale così così...personale gentile.Buona la posizione centrale, però seza infamia e senza lode...."
"ui_bubble_rating bubble_40","cordialità","abbondanza e qualità per il prezzo pagato nonché la cordialità con la quale vieni accolto si consiglia"
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_40","cena in famiglia","pizza con la propria famiglia sicuramente buona serata con pizza e birra non fà mai male passare un' ora ."
"ui_bubble_rating bubble_40","",""
"ui_bubble_rating bubble_40","simpatico.","locale non grande ma accogliente, giovanile e con un buona atmosfera, personale simpatico, cordiale e preparato.Servizio buono, pizza, forse troppo fina, tagliere e dolce buoni. "
"ui_bubble_rating bubble_40","",""
"ui_bubble_rating bubble_40","Buona pizza","La pizza è molto buona e il locale carino anche se piccolo. Menu con antipasto che prevede affettati e mozzarella."
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_10","ma il condimento dove sta?","Forse una delle peggiori pizze mai mangiate mozzarella inesistente e pezzi di salsiccia che si potevano vedere soli con la lente di ingrandimento sugli antipasti stendiamo un velo pietoso affettati presi da vaschette del supermercato accompagnati da scarti di focaccia abbrustoliti non rispettato il menu del coupon 2 calici da 0,2 invece di 0,5 di birra fatto anche pagare il caffe' che invece doveva essere compreso come scritto sul coupon sicuramente da evitare!!!!!"
"ui_bubble_rating bubble_20","",""
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_40","",""
"ui_bubble_rating bubble_50","una piacevole sorpresa","abbiamo conosciuto questo locale con groupon ed è stata una bella sorpresa.Antipasto,pizza e dolce tutto molto buono. da riprovare"
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_30","",""
"ui_bubble_rating bubble_50","semplice veloce buono","il personale è gentile ed efficiente la pizza ottima. siamo stati serviti bene e alla fine volevano offrirci anche amari e caffè non compresi."
"ui_bubble_rating bubble_40","Ma se poi avessimo avuto fretta...","Coupon pizza...per 5 euro a testa un (piccolo) antipasto, 1 pizza, acqua, bibita e dolce (microscopico): tutto sommato non malaccio...anche perchè la pizza era molto buona. Solo che...nonostante non ci fosse nessuno per buona parte del tempo in cui siamo stati lì, la pizza è arrivata dopo quasi un'ora...vabbè...non avevamo fretta, ma...se invece l'avessimo avuta?????"
"ui_bubble_rating bubble_10","Pizza o chewing-gum?","Lunedì sera ho preso 3 pezzi di pizza da portare a casa per cena con 3 condimenti diversi, i 2 condimenti bianchi erano buoni, la margherita con würstel era disgustosa e la mozzarella abbastanza inesistente.Tutti e tre i pezzi di pizza erano veramente GOMMOSI di conseguenza i bordi erano immangiabili."
"ui_bubble_rating bubble_50","menu pizza"," Il personale è molto servizievole tutto il cibo è stato buono ed abbondante, il locale ha un'atmosfera familiare."
"ui_bubble_rating bubble_40","ideale per mangiare dopo una bella passeggiata al centro","locale piccolo ma accogliente possibilità di vedere anche la tv. Titolari alla mano e gentilissimi da ritornarci"
"ui_bubble_rating bubble_30","ristopizza","siamo stati bene personale gentile e a parte l antipasto che non era proprio speciale la pizza era buona"
"ui_bubble_rating bubble_30","pizza al metro proprio buona!","Siamo stati in questo locale io e il mio compagno sia per pranzo che per cena, ed abbiamo appurato che la pizza è veramente buona! Il servizio lascia un po' a desiderare, ma sono ragazzi che hanno voglia di fare!! Tutto sommato è stato piacevole andarci a mangiare! Da riprovare!!!"
"ui_bubble_rating bubble_30","tanto tempo di attesa","Abbiamo mangiato bene, ma i tempi di attesa sono stati lunghissimi. La pizza buono ma, forse un po'pesante per i miei gusti "
"ui_bubble_rating bubble_30","Ristorante pulito, accogliente e con un buon servizio.","Eravamo in quattro, con un coupon di Groupon, in questo piccolo locale gestito da giovani vogliosi di far bene. Il servizio e' risultato nella media, discreti i taglieri ed ottime tutte e quattro le pizze serviteci con quattro Coca Cola e due bottiglie di acqua. Per finire, quattro dolcetti ed altrettanti caffe'."
"ui_bubble_rating bubble_40","",""
"ui_bubble_rating bubble_40","Serata tranquilla nel centro di Jesi","Consiglio di andare a gustare una pizza in questo ristorante al centro di jesi. Locale familiare , servizio regolare e cordiale. Tipica cena tranquilla .Consigliata. "
